doc_id	idno	sysdate	creaDate	lastDate		Nr. der Digitalisate	Dokumenttyp	Datierung (JJJJ-MM-TT)	Keine Jahres- o. Datumsangabe	Datierung (Zeitraum)	alternative Datierung	Titel	Verfasser/Aussteller	Verfasser/Aussteller (Transkript)	Beschreibung	Vollständigkeit des Archivals	Erläuterung Unvollständigkeit	Umfang in Seiten	Personen	Orte	Schlagwort	Bearbeitungsstatus	Bestand	zuletzt bearbeitet am	FuD-DBID				Digitalisat 1	Nr. des Digitalisats 1	Digitalisat 2	Nr. des Digitalisats 2	Digitalisat 3	Nr. des Digitalisats 3	Digitalisat 4	Nr. des Digitalisats 4	Digitalisat 5	Nr. des Digitalisats 5	Digitalisat 6	Nr. des Digitalisats 6	Digitalisat 7	Nr. des Digitalisats 7	Digitalisat 8	Nr. des Digitalisats 8	Digitalisat 9	Nr. des Digitalisats 9	Digitalisat 10	Nr. des Digitalisats 10	Digitalisat 11	Nr. des Digitalisats 11	Digitalisat 12	Nr. des Digitalisats 12	Digitalisat 13	Nr. des Digitalisats 13	Digitalisat 14	Nr. des Digitalisats 14	Digitalisat 15	Nr. des Digitalisats 15	Digitalisat 16	Nr. des Digitalisats 16	Digitalisat 17	Nr. des Digitalisats 17	Digitalisat 18	Nr. des Digitalisats 18	Digitalisat 19	Nr. des Digitalisats 19	Digitalisat 20	Nr. des Digitalisats 20		Digitalisate (tif)	xmltxt	
501	CdS-b2-000c	2022-04-08	2011-02-16 12:42:54	2021-06-15 15:12:30		C11/S89/039	Mappe		1						Mappe mit der Aufschrift „Famille de Devis” 							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	501				C11_S089_0039.jpg	C11/S89/039																																									<list><item n="main"></item></list>	
502	CdS-b2-000d	2022-04-08	2011-02-16 12:47:01	2021-06-15 15:12:30		C11/S89/041	Mappe		1						Mappe mit der Aufschrift „Mr Lambrechts” und „à rechercher les lettres de Mr Lambrechts pour les copier”.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	502				C11_S089_0041.jpg	C11/S89/041																																									<list><item n="main"></item></list>	
505	CdS-b2-000e	2022-04-08	2011-02-16 12:57:33	2021-06-15 15:12:30		C11/S89/046	Mappe		1						Mappe mit der Aufschrift „Desoria”.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	505				C11_S089_0046.jpg	C11/S89/046																																									<list><item n="main"></item></list>	
507	CdS-b2-000f	2022-04-08	2011-02-16 13:03:55	2021-06-15 15:12:30		C11/S89/049	Mappe		1						Mappe mit der Aufschrift „Mr Delanou”.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	507				C11_S089_0049.jpg	C11/S89/049																																									<list><item n="main"></item></list>	
510	CdS-b2-000g	2022-04-08	2011-02-16 13:12:38	2021-06-15 15:12:30		C11/S89/051	Mappe		1						Mappe mit der Aufschrift „Emilie David”.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	510				C11_S089_0051.jpg	C11/S89/051																																									<list><item n="main"></item></list>	
513	CdS-b2-000h	2022-04-08	2011-02-16 13:20:13	2021-06-15 15:12:30		C11/S89/057	Mappe		1						Mappe mit der Aufschrift „Denis”.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	513				C11_S089_0057.jpg	C11/S89/057																																									<list><item n="main"></item></list>	
522	CdS-b2-000i	2022-04-08	2011-02-16 13:52:38	2021-06-15 15:12:30		C11/S89/075	Mappe		1						Mappe mit der Aufschrift „Delestre”.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	522				C11_S089_0075.jpg	C11/S89/075																																									<list><item n="main"></item></list>	
524	CdS-b2-000j	2022-04-08	2011-02-16 14:04:36	2021-06-15 15:12:30		C11/S89/077	Mappe		1						Mappe mit der Aufschrift „Clavier, Mr. Cavier, Cambacères, Cailhava”.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	524				C11_S089_0077.jpg	C11/S89/077																																									<list><item n="main"></item></list>	
536	CdS-b2-000k	2022-04-08	2011-02-17 13:50:26	2021-06-15 15:12:30		C11/S89/106	Notiz		1						Notizen über die Aufbewahrung und Sortierung, der in der Mappe enthaltenen Briefe. Separate Aufbewahrung von Diplomen.							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	536				C11_S089_0106.jpg	C11/S89/106																																									<list><item n="main"></item></list>	
537	CdS-b2-000l	2022-04-08	2011-02-17 13:51:40	2021-06-15 15:12:30		C11/S89/107	Mappe		1						Mappe mit der Aufschrift „Madame Agoub”.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	537				C11_S089_0107.jpg	C11/S89/107																																									<list><item n="main"></item></list>	
540	CdS-b2-000m	2022-04-08	2011-02-17 14:00:12	2021-06-15 15:12:30		C11/S89/111	Mappe		1						Mappe mit der Aufschrift „Dauriat”.							40 - 2. Korrektur der deutschen Texte	Toulon	2021-06-15 15:12:30	540				C11_S089_0111.jpg	C11/S89/111																																									<list><item n="main"></item></list>	
551	CdS-b2-000n	2022-04-08	2011-02-17 14:57:42	2021-06-15 15:12:30		C11/S90/001	Mappe		1						Aufschrift: 14/04/2004 : \ 1836 - Châtelain - L'Office littéraire\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	551				C11_S090_0001.jpg	C11/S90/001																																									<list><item n="main"></item></list>	
554	CdS-b2-000o	2022-04-08	2011-02-17 15:18:08	2021-06-15 15:12:30		C11/S90/008	Mappe		1						Aufschrift: \GUINGUENE\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	554				C11_S090_0008.jpg	C11/S90/008																																									<list><item n="main"></item></list>	
560	CdS-b2-000p	2022-04-08	2011-02-17 15:34:11	2021-06-15 15:12:30		C11/S90/019	Mappe		1						Überschrift : \Mlle D'Hervilly\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	560				C11_S090_0019.jpg	C11/S90/019																																									<list><item n="main"></item></list>	
563	CdS-b2-000q	2022-04-08	2011-02-17 15:51:28	2021-06-15 15:12:30		C11/S90/025	Mappe		1						Titel: \Mr Labouisse\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	563				C11_S090_0025.jpg	C11/S90/025																																									<list><item n="main"></item></list>	
575	CdS-b2-000r	2022-04-08	2011-02-17 16:42:45	2021-06-15 15:12:30		C11/S90/056-057			1			À mon livre	Labouïsse-Rochefort, Jean-Pierre-Jacques-Auguste de		Gedicht							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	575				C11_S090_0056.jpg	C11/S90/056	C11_S090_0057.jpg	C11/S90/057																																							<list><item n="main"></item></list>	
578	CdS-b2-000s	2022-04-08	2011-02-17 16:52:56	2021-06-15 15:12:30		C11/S90/066	Mappe		1					 	Titel: \Lagrenée\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	578				C11_S090_0066.jpg	C11/S90/066																																									<list><item n="main"></item></list>	
588	CdS-b2-000t	2022-04-08	2011-02-17 17:44:14	2021-06-15 15:12:30		C11/S90/089	Notiz		1						Aufschrift: \M. Leroy\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	588				C11_S090_0089.jpg	C11/S90/089																																									<list><item n="main"></item></list>	
637	CdS-b2-000u	2022-04-08	2011-02-21 12:16:52	2021-06-15 15:12:30		C11/S90/232-297	Buch (Auszug)		1			Mémoire de W. F. Lynch			Übersetzung ins Französische eines Werks \sur la mer morte\ von W. F. Lynch (1801-1865).							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	637				C11_S90_232-297 komprimiert.pdf	C11/S90/232-297																																									<list><item n="main"></item></list>	
659	CdS-b2-000v	2022-04-08	2011-02-21 13:20:36	2021-06-15 15:12:30		C11/S91/058			1						Zettel mit den Worten „Mr. Naigeon”. 							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	659				C11_S091_0058.jpg	C11/S91/058																																									<list><item n="main"></item></list>	
687	CdS-b2-000w	2022-04-08	2011-02-22 16:29:12	2021-08-26 10:44:48		C11/S91/120	Buch (Auszug)		1				Salm, Constance de (CdS)		Handschriftlicher, von CdS unterschriebener Auszug aus der „Épître aux femmes”							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-08-26 10:44:48	687				C11_S091_0120.jpg	C11/S91/120																																									<list><item n="main"></item></list>	
702	CdS-b2-000x	2022-04-08	2011-02-22 17:26:43	2021-06-15 15:12:30		C11/S91/157	Notiz		1			 			Zettel mit den Worten „Mr. Ritz”.							20 - Verschlagwortung abgeschlossen (auch rückwirkend)	Toulon	2021-06-15 15:12:30	702				C11_S091_0157.jpg	C11/S91/157																																									<list><item n="main"></item></list>	
705	CdS-b2-000y	2022-04-08	2011-02-22 17:34:11	2021-06-15 15:12:30		C11/S91/164-165	Beschreibung	1829-05-29	0			Sur les pensées de Madame de Salm	Ritz, Wilhelm		Analyse der „Pensées“: Reflexion über erhabenen Charakter, der das Individuum formt. Der Moralist. Rochefoucaulds „Maximes“. CdS' „Pensées“.Abschrift siehe C05/S35/134-135.							70 - Korrekturvorgang abgeschlossen (alle 4 Schritte)	Toulon	2021-06-15 15:12:30	705				C11_S091_0164.jpg	C11/S91/164	C11_S091_0165.jpg	C11/S91/165																																							<list><item n="main"></item></list>	
724	CdS-b2-000z	2022-04-08	2011-02-23 11:01:56	2021-06-15 15:12:30		C11/S91/211	Mappe		1						Beschriftete Mappe, die sich auf die nachfolgenden Briefe bezieht: „1841-43 - Roux de la Rochelle - 2 billets sans intérêt - Fait le 14/04/04”.								Toulon	2021-06-15 15:12:30	724				C11_S091_0211.jpg	C11/S91/211																																									<list><item n="main"></item></list>	
729	CdS-b2-0010	2022-04-08	2011-02-23 11:19:23	2021-06-15 15:12:30		C11/S91/221	Mappe		1						Beschriftete Mappe, die sich auf die nachfolgenden Briefe bezieht: \Mme de Sainte-Luce\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	729				C11_S091_0221.jpg	C11/S91/221																																									<list><item n="main"></item></list>	
743	CdS-b2-0011	2022-04-08	2011-02-23 12:12:05	2021-06-15 15:12:30		C11/S91/246	Mappe		1						Beschriftete Mappe, die sich auf den nachfolgenden Brief bezieht : „Vié Césarini - 1828” (fait le 14/04/04).							10 - Gründliche Erschließung	Toulon	2021-06-15 15:12:30	743				C11_S091_0246.jpg	C11/S91/246																																									<list><item n="main"></item></list>	
746	CdS-b2-0012	2022-04-08	2011-02-23 14:50:53	2021-06-15 15:12:30		C11/S92/001-002	Mappe		1						Überschrift der mit handschriftlichen Notizen versehenen Mappe: \l'affaire d'Asfeld\.  							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	746				C11_S092_0001.jpg	C11/S92/001 	C11_S092_0002.jpg	C11/S92/002																																							<list><item n="main"></item></list>	
747	CdS-b2-0013	2022-04-08	2011-02-23 14:55:28	2021-06-15 15:12:30		C11/S92/003-004	Zeitung	1821-00-00	0						Beilage des \Niederrheinischen Beobachters\. Dortige Erklärung der Gräfin Maria Theresia von Hatzfeld-Schönstein vom 25.1.1821.							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	747				C11_S092_0003.jpg	C11/S92/003 	C11_S092_0004.jpg	C11/S92/004																																							<list><item n="main"></item></list>	
750	CdS-b2-0014	2022-04-08	2011-02-23 15:22:14	2021-06-15 15:12:30		C11/S92/006-011			1			Copie d'une note remise à S. E. le Comte de Taxis pour être envoyé au Prince de Hatzfeld de Munich 30 décembre			Dieses Schreiben enthält mehrere Teile, einige in französischer, andere in deutscher Sprache. Die Abschrift enthält Anmerkungen, evtl. aus der Hand von CdS. Eine Passage ist mit „Mr Bouton” unterzeichnet.	unvollständig	Seite halb zerrissen		Bouton, Charles Marie			20 - Verschlagwortung abgeschlossen (auch rückwirkend)	Toulon	2021-06-15 15:12:30	750				C11_S086_0006.jpg	C11/S92/006	C11_S086_0007.jpg	C11/S92/007	C11_S086_0008.jpg	C11/S92/008	C11_S086_0009.jpg	C11/S92/009	C11_S086_0010.jpg	C11/S92/010	C11_S086_0011.jpg	C11/S92/011																															<list><item n="main"></item></list>	
751	CdS-b2-0015	2022-04-08	2011-02-23 15:31:23	2021-06-15 15:12:30		C11/S92/011-012	Notiz	1821-02-16	0			Abschrift eines Schreibens an den Hr. Justiz-Minister Herrn von Kircheisen Excellenz in Berlin vom Fürsten zu Salm-Dyck			Abschrift einer Notiz (auf Deutsch), datiert 16.02.1821. Diese Abschrift gehört zur selben Mappe wie Brief C11/S92/005 und die Notiz C11/S92/006-011.				Kircheisen, Friedrich Leopold von			20 - Verschlagwortung abgeschlossen (auch rückwirkend)	Toulon	2021-06-15 15:12:30	751				C11_S092_0011.jpg	C11/S92/011	C11_S092_0012.jpg	C11/S92/012																																							<list><item n="main"></item></list>	
752	CdS-b2-0016	2022-04-08	2011-02-23 15:35:59	2021-06-15 15:12:30		C11/S92/013	Notiz		1						Schriftstück mit dem Titel \Extraits de lettres particulières\. Es handelt sich evtl. um die letzte Seite des Heftes in C11/S92/005.							20 - Verschlagwortung abgeschlossen (auch rückwirkend)	Toulon	2021-06-15 15:12:30	752				C11_S092_0013.jpg	C11/S92/013																																									<list><item n="main"></item></list>	
769	CdS-b2-0017	2022-04-08	2011-02-24 10:40:22	2021-08-26 10:44:48		C11/S93/001	Mappe		1				Salm, Constance de (CdS)		Mappe mit Handschrift von Constance de Salm: \Lettres essentielles diverses...\							20 - Verschlagwortung abgeschlossen (auch rückwirkend)	Toulon	2021-08-26 10:44:48	769				C11_S093_0001.jpg	C11/S93/001																																									<list><item n="main"></item></list>	
770	CdS-b2-0018	2022-04-08	2011-02-24 10:56:45	2021-08-26 10:44:48		C11/S93/002	Mappe		1				Salm, Constance de (CdS)		Mappe mit Handschrift von CdS: \Correspondance de famille, baron de Francq\.								Toulon	2021-08-26 10:44:48	770				C11_S093_0002.jpg	C11/S93/002																																									<list><item n="main"></item></list>	
771	CdS-b2-0019	2022-04-08	2011-02-24 11:00:06	2021-06-15 15:12:30		C11/S93/003	Mappe		1			 			Mappe mit Handschrift von Constance de Salm: \M. Murrey\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	771				C11_S093_0003.jpg	C11/S93/003																																									<list><item n="main"></item></list>	
774	CdS-b2-001a	2022-04-08	2011-02-24 11:15:58	2021-06-15 15:12:30		C11/S93/009			1						Mappe mit der Aufschrift \De Vrignel\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	774				C11_S093_0009.jpg	C11/S93/009																																									<list><item n="main"></item></list>	
782	CdS-b2-001b	2022-04-08	2011-02-24 12:46:35	2021-06-15 15:12:30		C11/S93/026	Mappe		1						Umschlag ohne Eintrag.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	782				C11_S093_0026.jpg	C11/S93/026																																									<list><item n="main"></item></list>	
783	CdS-b2-001c	2022-04-08	2011-02-24 12:56:09	2021-06-15 15:12:30		C11/S93/027-031			1						Biographische Notiz über den Theologen Georg Hermes [in deutscher Sprache].							60 - 2. Korrektur -- Korrektur Briefanfänge -- Überprüfung Digitalisate	Toulon	2021-06-15 15:12:30	783				C11_S093_0027.jpg	C11/S93/027	C11_S093_0028.jpg	C11/S93/028	C11_S093_0029.jpg	C11/S93/029	C11_S093_0030.jpg	C11/S93/030	C11_S093_0031.jpg	C11/S93/031																																	<list><item n="main"></item></list>	
788	CdS-b2-001d	2022-04-08	2011-02-24 14:38:47	2021-06-15 15:12:30		C11/S93/042	Mappe		1													00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	788																																														<list><item n="main"></item></list>	
799	CdS-b2-001e	2022-04-08	2011-02-24 15:25:18	2021-06-15 15:12:30		C11/S93/072	Mappe		1			Autographes du Général Maison et de sa femme			Mappe mit der Aufschrift \Autographes du Général Maison et de sa femme\							20 - Verschlagwortung abgeschlossen (auch rückwirkend)	Toulon	2021-06-15 15:12:30	799				C11_S093_0072.jpg	C11/S93/072																																									<list><item n="main"></item></list>	
807	CdS-b2-001f	2022-04-08	2011-02-28 11:27:08	2021-06-15 15:12:30		C11/S94/001	Mappe		1						Mappe mit der Aufschrift: \Lettres adressées à Madame la Princesse Salm-Dyck, Constance-Marie de Théis dame Pipelet (Muse de la Raison et Boileau des femmes) et à Monsieur Thais château de Dyck (Theis)\							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	807				C11_S094_0001.jpg	C11/S94/001																																									<list><item n="main"></item></list>	
824	CdS-b2-001g	2022-04-08	2011-02-28 13:09:26	2021-06-15 15:12:30		C11/S94/047	Notiz		1						Zettel mit der Aufschrift \Madame Sobry\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	824				C11_S094_0047.jpg	C11/S94/047																																									<list><item n="main"></item></list>	
847	CdS-b2-001h	2022-04-08	2011-03-01 12:03:30	2021-06-15 15:12:30		C10/S77/016	Mappe	1829-00-00	0						Carton portant la mention \Chokier\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	847				C10_S077_0016.jpg	C10/S77/016																																									<list><item n="main"></item></list>	
1029	CdS-b2-001i	2022-04-08	2011-03-03 13:12:53	2021-06-15 15:12:30		C10/S78/020-021	Gedicht		1			Souvenir d'un vieillard	Faulcon de La Parisière, Marie-Félix									80 - Freigabe	Toulon	2021-06-15 15:12:30	1029				C10_S078_0020.jpg	C10/S78/020 	C10_S078_0021.jpg	C10/S78/021																																							<list><item n="main"></item></list>	
1184	CdS-b2-001j	2022-04-08	2011-03-04 15:35:55	2021-06-15 15:12:30		C10/S79/164	Mappe		1						Intercalaire portant la mention \Billets de Vigée / de l'an 1809 à 1812\							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1184																																														<list><item n="main"></item></list>	
1237	CdS-b2-001k	2022-04-08	2011-03-07 11:40:25	2021-06-15 15:12:30		C10/S82/001	Mappe		1						Chemise portant la mention „Lettres de Felix de Francq au prince de Salm. 1840-1847”							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1237				C10_S082_0001.jpg	C10/S82/001																																									<list><item n="main"></item></list>	
1254	CdS-b2-001l	2022-04-08	2011-03-07 12:01:00	2021-06-15 15:12:30		C10/S82/059	Mappe		1						Chemise portant la mention „Prince de Salm à Felix de Francq. 1834-1851”.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1254				C10_S082_0059.jpg	C10/S82/059																																									<list><item n="main"></item></list>	
1255	CdS-b2-001m	2022-04-08	2011-03-07 12:01:23	2021-06-15 15:12:30		C10/S82/060	Mappe		1						Chemise portant la mention „1845-1846”.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1255				C10_S082_0060.jpg	C10/S82/060																																									<list><item n="main"></item></list>	
1269	CdS-b2-001n	2022-04-08	2011-03-07 12:21:13	2021-06-15 15:12:30		C10/S82/097	Mappe		1						Chemise vierge.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1269				C10_S082_0097.jpg	C10/S82/097																																									<list><item n="main"></item></list>	
1421	CdS-b2-001o	2022-04-08	2011-03-07 15:49:51	2021-06-15 15:12:30		C10/S82/473	Mappe		1						Chemise vierge.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1421																																														<list><item n="main"></item></list>	
1423	CdS-b2-001p	2022-04-08	2011-03-07 15:51:04	2021-06-15 15:12:30		C10/S82/474	Mappe		1						Chemise portant la mention \Lettres diverses\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1423																																														<list><item n="main"></item></list>	
1425	CdS-b2-001q	2022-04-08	2011-03-07 15:52:01	2021-06-15 15:12:30		C10/S82/475	Gedicht		1													00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1425																																														<list><item n="main"></item></list>	
1438	CdS-b2-001r	2022-04-08	2011-03-07 16:00:48	2021-06-15 15:12:30		C10/S82/499	Verzeichnis		1						Liste de noms (personnel militaire).							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1438																																														<list><item n="main"></item></list>	
1462	CdS-b2-001s	2022-04-08	2011-03-07 16:26:19	2021-06-15 15:12:30		C10/S83/001	Mappe		1						Chemise portant la mention \Roeder à M. de Francq. ca 1847-1849\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1462																																														<list><item n="main"></item></list>	
1504	CdS-b2-001t	2022-04-08	2011-03-08 12:32:57	2021-06-15 15:12:30		C10/S83/092	Mappe		1						Chemise vierge (dos de la chemise n° C10/S83/001).							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1504																																														<list><item n="main"></item></list>	
1505	CdS-b2-001u	2022-04-08	2011-03-08 12:33:59	2021-06-15 15:12:30		C10/S83/093	Mappe		1						Chemise portant la mention \Lettres de Mathilde Roeder à Madame de Francq. ca. 1860-1866\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1505																																														<list><item n="main"></item></list>	
1506	CdS-b2-001v	2022-04-08	2011-03-08 12:35:44	2021-06-15 15:12:30		C10/S83/094	Mappe		1						Chemise portant la mention \Molly\ (Mathilde).							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1506																																														<list><item n="main"></item></list>	
1521	CdS-b2-001w	2022-04-08	2011-03-08 12:56:56	2021-06-15 15:12:30		C10/S83/133	Mappe		1						Chemise vierge.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1521																																														<list><item n="main"></item></list>	
1579	CdS-b2-001x	2022-04-08	2011-03-08 15:16:25	2021-06-15 15:12:30		C10/S83/326	Mappe		1						Chemise portant la mention \Felix de Francq et son fils Emmanuel à Azélie de Francq. 1857-1867\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1579																																														<list><item n="main"></item></list>	
1639	CdS-b2-001y	2022-04-08	2011-03-08 15:49:57	2021-06-15 15:12:30		C10/S83/437	Mappe		1						Chemise portant la mention \Diverses lettres à M. et Mme de Francq\.							00 - Grobe Erschließung	Toulon	2021-06-15 15:12:30	1639																																														<list><item n="main"></item></list>	
